sample,scaffold,gene,coverage,breadth,pNpS_variants
T1900044535_TS20190001,SGB_8084_k141_2701065,SGB_8084_k141_2701065_130,43.27007299270073,1.0,0.7236782305711247
T1900044535_TS20190001,SGB_8084_k141_1794637,SGB_8084_k141_1794637_2,12.58173076923077,0.9967948717948718,0.2751540041067758
T1900044535_TS20190001,SGB_8084_k141_1794637,SGB_8084_k141_1794637_3,20.51515151515152,1.0,0.6790322580645146
T1900044535_TS20190001,SGB_8084_k141_262389,SGB_8084_k141_262389_3,4.602189781021898,0.4257907542579075,0.568075117370891
T1900044535_TS20190001,SGB_8084_k141_1064297,SGB_8084_k141_1064297_2,2.6818495514147687,0.4251207729468599,0.263617826973493
T1900044535_TS20190001,SGB_8084_k141_1064297,SGB_8084_k141_1064297_7,11.59349593495935,0.9983739837398374,0.0936861810755613
T1900044535_TS20190001,SGB_8084_k141_2215660,SGB_8084_k141_2215660_3,18.561904761904763,1.0,0.2224409448818898
T1900044535_TS20190001,SGB_8084_k141_3284586,SGB_8084_k141_3284586_2,17.011965811965812,0.9974358974358974,0.2522297538351775
T1900044535_TS20190001,SGB_8084_k141_1217890,SGB_8084_k141_1217890_63,5.247863247863248,1.0,0.075046904315197
T1900044535_TS20190001,SGB_8084_k141_1217890,SGB_8084_k141_1217890_65,1.9118773946360152,0.4265644955300127,0.2835984640702141
T1900044535_TS20190001,SGB_8084_k141_724402,SGB_8084_k141_724402_2,13.112994350282486,0.9689265536723164,0.7588862559241694
T1900044535_TS20190001,SGB_8084_k141_585639,SGB_8084_k141_585639_34,4.480676328502415,0.3828502415458937,0.0360263955769574
T1900044535_TS20190001,SGB_8084_k141_585639,SGB_8084_k141_585639_35,4.853046594982079,0.8602150537634409,0.0719284603421462
T1900044535_TS20190001,SGB_8084_k141_585639,SGB_8084_k141_585639_42,4.523809523809524,0.9873015873015872,0.0917347865576749
T1900044535_TS20190001,SGB_8084_k141_585639,SGB_8084_k141_585639_44,19.618279569892472,1.0,0.0721830985915493
T1900044535_TS20190001,SGB_8084_k141_1226281,SGB_8084_k141_1226281_19,13.869814020028612,0.9990462565569862,0.1095384615384611
T1900044535_TS20190001,SGB_8084_k141_1226281,SGB_8084_k141_1226281_20,23.372294372294373,1.0,0.1102464332036317
